DataExtractDate,ReportPeriod,Terminal,Arrival_Departure,Domestic_International,Passenger_Count
05/01/2014 12:00:00 AM,05/01/2006 12:00:00 AM,Terminal 5,Arrival,International,29699
05/01/2014 12:00:00 AM,05/01/2006 12:00:00 AM,Terminal 5,Departure,Domestic,146731
05/01/2014 12:00:00 AM,05/01/2006 12:00:00 AM,Terminal 5,Departure,International,28671
05/01/2014 12:00:00 AM,05/01/2006 12:00:00 AM,Terminal 6,Arrival,Domestic,218606
05/01/2014 12:00:00 AM,05/01/2006 12:00:00 AM,Terminal 6,Arrival,International,4187
05/01/2014 12:00:00 AM,05/01/2006 12:00:00 AM,Terminal 6,Departure,Domestic,219638
05/01/2014 12:00:00 AM,05/01/2006 12:00:00 AM,Terminal 6,Departure,International,5009
05/01/2014 12:00:00 AM,05/01/2006 12:00:00 AM,Terminal 7,Arrival,Domestic,278391
05/01/2014 12:00:00 AM,05/01/2006 12:00:00 AM,Terminal 7,Arrival,International,32810
05/01/2014 12:00:00 AM,05/01/2006 12:00:00 AM,Terminal 7,Departure,Domestic,278511
05/01/2014 12:00:00 AM,05/01/2006 12:00:00 AM,Terminal 7,Departure,International,36643
05/01/2014 12:00:00 AM,05/01/2006 12:00:00 AM,Terminal 8,Arrival,Domestic,118195
05/01/2014 12:00:00 AM,05/01/2006 12:00:00 AM,Terminal 8,Departure,Domestic,113395
05/01/2014 12:00:00 AM,05/01/2006 12:00:00 AM,Tom Bradley International Terminal,Arrival,Domestic,2944
05/01/2014 12:00:00 AM,05/01/2006 12:00:00 AM,Tom Bradley International Terminal,Arrival,International,403756
05/01/2014 12:00:00 AM,05/01/2006 12:00:00 AM,Tom Bradley International Terminal,Departure,International,386494
05/01/2014 12:00:00 AM,06/01/2006 12:00:00 AM,Imperial Terminal,Arrival,Domestic,25
05/01/2014 12:00:00 AM,06/01/2006 12:00:00 AM,Imperial Terminal,Departure,Domestic,74
05/01/2014 12:00:00 AM,06/01/2006 12:00:00 AM,Misc. Terminal,Arrival,Domestic,5
05/01/2014 12:00:00 AM,06/01/2006 12:00:00 AM,Misc. Terminal,Departure,Domestic,66
05/01/2014 12:00:00 AM,06/01/2006 12:00:00 AM,Terminal 1,Arrival,Domestic,459302
05/01/2014 12:00:00 AM,06/01/2006 12:00:00 AM,Terminal 1,Departure,Domestic,460256
05/01/2014 12:00:00 AM,06/01/2006 12:00:00 AM,Terminal 1,Departure,International,652
05/01/2014 12:00:00 AM,06/01/2006 12:00:00 AM,Terminal 2,Arrival,Domestic,108894
05/01/2014 12:00:00 AM,06/01/2006 12:00:00 AM,Terminal 2,Arrival,International,156867
05/01/2014 12:00:00 AM,06/01/2006 12:00:00 AM,Terminal 2,Departure,Domestic,112702
05/01/2014 12:00:00 AM,06/01/2006 12:00:00 AM,Terminal 2,Departure,International,175532
05/01/2014 12:00:00 AM,06/01/2006 12:00:00 AM,Terminal 3,Arrival,Domestic,159549
05/01/2014 12:00:00 AM,06/01/2006 12:00:00 AM,Terminal 3,Arrival,International,19948
05/01/2014 12:00:00 AM,06/01/2006 12:00:00 AM,Terminal 3,Departure,Domestic,162854
05/01/2014 12:00:00 AM,06/01/2006 12:00:00 AM,Terminal 3,Departure,International,52990
05/01/2014 12:00:00 AM,06/01/2006 12:00:00 AM,Terminal 4,Arrival,Domestic,428312
05/01/2014 12:00:00 AM,06/01/2006 12:00:00 AM,Terminal 4,Arrival,International,67925
05/01/2014 12:00:00 AM,06/01/2006 12:00:00 AM,Terminal 4,Departure,Domestic,436887
05/01/2014 12:00:00 AM,06/01/2006 12:00:00 AM,Terminal 4,Departure,International,53056
05/01/2014 12:00:00 AM,06/01/2006 12:00:00 AM,Terminal 5,Arrival,Domestic,174320
05/01/2014 12:00:00 AM,06/01/2006 12:00:00 AM,Terminal 5,Arrival,International,25471
05/01/2014 12:00:00 AM,06/01/2006 12:00:00 AM,Terminal 5,Departure,Domestic,182546
05/01/2014 12:00:00 AM,06/01/2006 12:00:00 AM,Terminal 5,Departure,International,32616
05/01/2014 12:00:00 AM,06/01/2006 12:00:00 AM,Terminal 6,Arrival,Domestic,232429
05/01/2014 12:00:00 AM,06/01/2006 12:00:00 AM,Terminal 6,Arrival,International,9126
05/01/2014 12:00:00 AM,06/01/2006 12:00:00 AM,Terminal 6,Departure,Domestic,238648
05/01/2014 12:00:00 AM,06/01/2006 12:00:00 AM,Terminal 6,Departure,International,5648
05/01/2014 12:00:00 AM,06/01/2006 12:00:00 AM,Terminal 7,Arrival,Domestic,296558
05/01/2014 12:00:00 AM,06/01/2006 12:00:00 AM,Terminal 7,Arrival,International,34183
05/01/2014 12:00:00 AM,06/01/2006 12:00:00 AM,Terminal 7,Departure,Domestic,304254
05/01/2014 12:00:00 AM,06/01/2006 12:00:00 AM,Terminal 7,Departure,International,47960
05/01/2014 12:00:00 AM,06/01/2006 12:00:00 AM,Terminal 8,Arrival,Domestic,118608
05/01/2014 12:00:00 AM,06/01/2006 12:00:00 AM,Terminal 8,Departure,Domestic,115685
05/01/2014 12:00:00 AM,06/01/2006 12:00:00 AM,Tom Bradley International Terminal,Arrival,Domestic,2824
05/01/2014 12:00:00 AM,06/01/2006 12:00:00 AM,Tom Bradley International Terminal,Arrival,International,413444
05/01/2014 12:00:00 AM,06/01/2006 12:00:00 AM,Tom Bradley International Terminal,Departure,International,419807
05/01/2014 12:00:00 AM,07/01/2006 12:00:00 AM,Imperial Terminal,Arrival,Domestic,89
05/01/2014 12:00:00 AM,07/01/2006 12:00:00 AM,Imperial Terminal,Departure,Domestic,88
05/01/2014 12:00:00 AM,07/01/2006 12:00:00 AM,Misc. Terminal,Arrival,Domestic,5
05/01/2014 12:00:00 AM,07/01/2006 12:00:00 AM,Misc. Terminal,Arrival,International,4
05/01/2014 12:00:00 AM,07/01/2006 12:00:00 AM,Misc. Terminal,Departure,Domestic,8
05/01/2014 12:00:00 AM,07/01/2006 12:00:00 AM,Terminal 1,Arrival,Domestic,469516
05/01/2014 12:00:00 AM,07/01/2006 12:00:00 AM,Terminal 1,Departure,Domestic,468038
05/01/2014 12:00:00 AM,07/01/2006 12:00:00 AM,Terminal 1,Departure,International,784
05/01/2014 12:00:00 AM,07/01/2006 12:00:00 AM,Terminal 2,Arrival,Domestic,120213
05/01/2014 12:00:00 AM,07/01/2006 12:00:00 AM,Terminal 2,Arrival,International,191247
05/01/2014 12:00:00 AM,07/01/2006 12:00:00 AM,Terminal 2,Departure,Domestic,121663
05/01/2014 12:00:00 AM,07/01/2006 12:00:00 AM,Terminal 2,Departure,International,188679
05/01/2014 12:00:00 AM,07/01/2006 12:00:00 AM,Terminal 3,Arrival,Domestic,181198
05/01/2014 12:00:00 AM,07/01/2006 12:00:00 AM,Terminal 3,Arrival,International,25029
05/01/2014 12:00:00 AM,07/01/2006 12:00:00 AM,Terminal 3,Departure,Domestic,185292
05/01/2014 12:00:00 AM,07/01/2006 12:00:00 AM,Terminal 3,Departure,International,56763
05/01/2014 12:00:00 AM,07/01/2006 12:00:00 AM,Terminal 4,Arrival,Domestic,460367
05/01/2014 12:00:00 AM,07/01/2006 12:00:00 AM,Terminal 4,Arrival,International,64509
05/01/2014 12:00:00 AM,07/01/2006 12:00:00 AM,Terminal 4,Departure,Domestic,456673
05/01/2014 12:00:00 AM,07/01/2006 12:00:00 AM,Terminal 4,Departure,International,55251
05/01/2014 12:00:00 AM,07/01/2006 12:00:00 AM,Terminal 5,Arrival,Domestic,196803
05/01/2014 12:00:00 AM,07/01/2006 12:00:00 AM,Terminal 5,Arrival,International,36064
05/01/2014 12:00:00 AM,07/01/2006 12:00:00 AM,Terminal 5,Departure,Domestic,195215
05/01/2014 12:00:00 AM,07/01/2006 12:00:00 AM,Terminal 5,Departure,International,44069
05/01/2014 12:00:00 AM,07/01/2006 12:00:00 AM,Terminal 6,Arrival,Domestic,269170
05/01/2014 12:00:00 AM,07/01/2006 12:00:00 AM,Terminal 6,Arrival,International,13247
05/01/2014 12:00:00 AM,07/01/2006 12:00:00 AM,Terminal 6,Departure,Domestic,266116
05/01/2014 12:00:00 AM,07/01/2006 12:00:00 AM,Terminal 6,Departure,International,9219
05/01/2014 12:00:00 AM,07/01/2006 12:00:00 AM,Terminal 7,Arrival,Domestic,305257
05/01/2014 12:00:00 AM,07/01/2006 12:00:00 AM,Terminal 7,Arrival,International,38300
05/01/2014 12:00:00 AM,07/01/2006 12:00:00 AM,Terminal 7,Departure,Domestic,303306
05/01/2014 12:00:00 AM,07/01/2006 12:00:00 AM,Terminal 7,Departure,International,49922
05/01/2014 12:00:00 AM,07/01/2006 12:00:00 AM,Terminal 8,Arrival,Domestic,117910
05/01/2014 12:00:00 AM,07/01/2006 12:00:00 AM,Terminal 8,Departure,Domestic,116863
05/01/2014 12:00:00 AM,07/01/2006 12:00:00 AM,Tom Bradley International Terminal,Arrival,Domestic,2581
05/01/2014 12:00:00 AM,07/01/2006 12:00:00 AM,Tom Bradley International Terminal,Arrival,International,500009
05/01/2014 12:00:00 AM,07/01/2006 12:00:00 AM,Tom Bradley International Terminal,Departure,Domestic,210
05/01/2014 12:00:00 AM,07/01/2006 12:00:00 AM,Tom Bradley International Terminal,Departure,International,410046
05/01/2014 12:00:00 AM,08/01/2006 12:00:00 AM,Imperial Terminal,Arrival,Domestic,5
05/01/2014 12:00:00 AM,08/01/2006 12:00:00 AM,Imperial Terminal,Departure,Domestic,238
05/01/2014 12:00:00 AM,08/01/2006 12:00:00 AM,Terminal 1,Arrival,Domestic,456601
05/01/2014 12:00:00 AM,08/01/2006 12:00:00 AM,Terminal 1,Departure,Domestic,466636
05/01/2014 12:00:00 AM,08/01/2006 12:00:00 AM,Terminal 1,Departure,International,694
